Date,Open,High,Low,Close,Adj Close,Volume
2019-10-22,1.30854,1.31216,1.30697,1.30866,1.30866,0
2019-10-23,1.30936,1.31089,1.3084,1.3094,1.3094,0
2019-10-24,1.3075,1.30924,1.3051,1.3073,1.3073,0
2019-10-25,1.30707,1.30766,1.3056,1.30706,1.30706,0
2019-10-28,1.3064,1.30779,1.3048,1.3063,1.3063,0
2019-10-29,1.30555,1.30789,1.3042,1.30556,1.30556,0
2019-10-30,1.30891,1.31844,1.3073,1.3089,1.3089,0
2019-10-31,1.31633,1.31772,1.31374,1.31654,1.31654,0
2019-11-01,1.31679,1.31939,1.314,1.31675,1.31675,0
2019-11-04,1.3139,1.31599,1.3127,1.314,1.314,0
2019-11-05,1.31533,1.31771,1.3114,1.31516,1.31516,0
2019-11-06,1.3153,1.31905,1.3152,1.3151,1.3151,0
2019-11-07,1.3185,1.31966,1.3158,1.31856,1.31856,0
2019-11-08,1.32172,1.32361,1.3213,1.32271,1.32271,0
2019-11-11,1.32256,1.32343,1.32127,1.32252,1.32252,0
2019-11-12,1.32347,1.32566,1.32175,1.3232,1.3232,0
2019-11-13,1.32364,1.32671,1.3231,1.32367,1.32367,0
2019-11-14,1.32525,1.32701,1.32448,1.32519,1.32519,0
2019-11-15,1.32494,1.32515,1.3218,1.32498,1.32498,0
2019-11-18,1.32235,1.32348,1.3205,1.32224,1.32224,0
2019-11-19,1.32067,1.3233,1.3191,1.32068,1.32068,0
2019-11-20,1.32715,1.33189,1.3268,1.32713,1.32713,0
2019-11-21,1.33031,1.33244,1.32697,1.3302,1.3302,0
2019-11-22,1.3281,1.32968,1.32544,1.3278,1.3278,0
2019-11-25,1.3296,1.33171,1.3283,1.32957,1.32957,0
2019-11-26,1.33038,1.33156,1.3283,1.33031,1.33031,0
2019-11-27,1.32697,1.3289,1.3259,1.3269,1.3269,0
2019-11-28,1.3285,1.3298,1.32799,1.32856,1.32856,0
2019-11-29,1.3278,1.3313,1.32765,1.32797,1.32797,0
2019-12-02,1.32849,1.33055,1.3275,1.32839,1.32839,0
2019-12-03,1.33058,1.33204,1.3282,1.3303,1.3303,0
2019-12-04,1.32903,1.32971,1.32085,1.32919,1.32919,0
2019-12-05,1.3192,1.3192,1.3156,1.31927,1.31927,0
2019-12-06,1.3176,1.32686,1.317,1.3176,1.3176,0
2019-12-09,1.32524,1.32648,1.32229,1.32498,1.32498,0
2019-12-10,1.32381,1.3249,1.3222,1.32371,1.32371,0
2019-12-11,1.3232,1.32391,1.31991,1.3231,1.3231,0
2019-12-12,1.31723,1.31916,1.316,1.31727,1.31727,0
2019-12-13,1.31523,1.32037,1.3152,1.31527,1.31527,0
2019-12-16,1.31852,1.31852,1.3113,1.31834,1.31834,0
2019-12-17,1.31626,1.31849,1.3146,1.3163,1.3163,0
2019-12-18,1.3161,1.31747,1.31027,1.31592,1.31592,0
2019-12-19,1.31137,1.3136,1.3109,1.31139,1.31139,0
2019-12-20,1.3121,1.31801,1.3121,1.3123,1.3123,0
2019-12-23,1.31446,1.31763,1.3143,1.31464,1.31464,0
2019-12-24,1.31471,1.31668,1.3145,1.31482,1.31482,0
2019-12-25,1.3166,1.3181,1.315,1.3164,1.3164,0
2019-12-26,1.3153,1.3158,1.31125,1.3155,1.3155,0
2019-12-27,1.31099,1.31193,1.30723,1.3108,1.3108,0
2019-12-30,1.30743,1.30836,1.3053,1.30734,1.30734,0
2019-12-31,1.3058,1.30608,1.29531,1.30606,1.30606,0
2020-01-01,1.3002,1.3011,1.29193,1.3002,1.3002,0
2020-01-02,1.29751,1.3007,1.29687,1.2973,1.2973,0
2020-01-03,1.29837,1.30041,1.29612,1.2983,1.2983,0
2020-01-06,1.29872,1.29886,1.2963,1.29866,1.29866,0
2020-01-07,1.29641,1.30293,1.2957,1.29639,1.29639,0
2020-01-08,1.30014,1.30431,1.29765,1.30031,1.30031,0
2020-01-09,1.30352,1.31039,1.3025,1.30365,1.30365,0
2020-01-10,1.30624,1.30752,1.30297,1.30625,1.30625,0
2020-01-13,1.30669,1.30675,1.3032,1.30654,1.30654,0
2020-01-14,1.30562,1.30777,1.3047,1.30556,1.30556,0
2020-01-15,1.3065,1.30775,1.3038,1.30655,1.30655,0
2020-01-16,1.3038,1.30553,1.3031,1.3038,1.3038,0
2020-01-17,1.30398,1.30745,1.3033,1.3039,1.3039,0
2020-01-20,1.30632,1.30719,1.305,1.30636,1.30636,0
2020-01-21,1.30452,1.30772,1.3042,1.30454,1.30454,0
2020-01-22,1.3074,1.31384,1.30366,1.30735,1.30735,0
2020-01-23,1.31423,1.31714,1.31419,1.3139,1.3139,0
2020-01-24,1.31271,1.31504,1.3121,1.3127,1.3127,0
2020-01-27,1.31608,1.31992,1.3146,1.3159,1.3159,0
2020-01-28,1.31881,1.32049,1.31701,1.31877,1.31877,0
2020-01-29,1.31639,1.32074,1.3156,1.3164,1.3164,0
2020-01-30,1.3196,1.32257,1.3196,1.3197,1.3197,0
2020-01-31,1.3209,1.3244,1.31948,1.32113,1.32113,0
2020-02-03,1.32407,1.33029,1.323,1.32404,1.32404,0
2020-02-04,1.32948,1.33011,1.3262,1.3294,1.3294,0
2020-02-05,1.32828,1.33016,1.32628,1.32824,1.32824,0
2020-02-06,1.32861,1.33085,1.3268,1.32843,1.32843,0
2020-02-07,1.32865,1.33175,1.32807,1.3284,1.3284,0
2020-02-10,1.33116,1.33282,1.3287,1.33096,1.33096,0
2020-02-11,1.33174,1.33191,1.3276,1.3317,1.3317,0
2020-02-12,1.329,1.32948,1.3243,1.32904,1.32904,0
2020-02-13,1.32566,1.3271,1.3239,1.32561,1.32561,0
2020-02-14,1.32645,1.32682,1.3235,1.32639,1.32639,0
2020-02-17,1.32452,1.32489,1.3223,1.32452,1.32452,0
2020-02-18,1.3237,1.32771,1.3234,1.3235,1.3235,0
2020-02-19,1.32526,1.32554,1.3215,1.32537,1.32537,0
2020-02-20,1.32221,1.3268,1.3211,1.32204,1.32204,0
2020-02-21,1.326,1.3268,1.3212,1.32598,1.32598,0
2020-02-24,1.32531,1.3307,1.32464,1.3253,1.3253,0
2020-02-25,1.32884,1.33052,1.32711,1.32874,1.32874,0
2020-02-26,1.32806,1.33215,1.32717,1.32792,1.32792,0
2020-02-27,1.33436,1.3373,1.33166,1.33453,1.33453,0
2020-02-28,1.33872,1.34618,1.33856,1.33862,1.33862,0
2020-03-02,1.34047,1.34128,1.33149,1.34071,1.34071,0
2020-03-03,1.33249,1.33789,1.33211,1.33251,1.33251,0
2020-03-04,1.33762,1.34306,1.33304,1.33776,1.33776,0
2020-03-05,1.3387,1.34318,1.3385,1.33846,1.33846,0
2020-03-06,1.33912,1.34379,1.33804,1.33938,1.33938,0
2020-03-09,1.36195,1.37558,1.35195,1.36222,1.36222,0
2020-03-10,1.36594,1.3795,1.36099,1.3658,1.3658,0
2020-03-11,1.37299,1.37612,1.3682,1.37318,1.37318,0
2020-03-12,1.37707,1.38726,1.3752,1.3773,1.3773,0
2020-03-13,1.39405,1.39941,1.37819,1.39428,1.39428,0
2020-03-16,1.37881,1.3985,1.37881,1.37978,1.37978,0
2020-03-17,1.40105,1.41862,1.39613,1.40106,1.40106,0
2020-03-18,1.42404,1.45564,1.4166,1.42392,1.42392,0
2020-03-19,1.44745,1.46665,1.44223,1.4445,1.4445,0
2020-03-20,1.44922,1.4528,1.41504,1.44982,1.44982,0
2020-03-23,1.44651,1.4542,1.43406,1.44594,1.44594,0
2020-03-24,1.44779,1.45305,1.43746,1.44769,1.44769,0
2020-03-25,1.44377,1.44594,1.42993,1.4439,1.4439,0
2020-03-26,1.42201,1.42755,1.4012,1.42171,1.42171,0
2020-03-27,1.40441,1.41491,1.39909,1.40374,1.40374,0
2020-03-30,1.40517,1.41829,1.40121,1.40469,1.40469,0
2020-03-31,1.41821,1.43464,1.4095,1.41787,1.41787,0
2020-04-01,1.40772,1.42708,1.40661,1.4078,1.4078,0
2020-04-02,1.41503,1.42899,1.40844,1.41514,1.41514,0
2020-04-03,1.41334,1.42239,1.40987,1.41293,1.41293,0
2020-04-06,1.42525,1.42553,1.40866,1.4252,1.4252,0
2020-04-07,1.41102,1.41225,1.3946,1.41123,1.41123,0
2020-04-08,1.40129,1.40795,1.39913,1.4014,1.4014,0
2020-04-09,1.4006,1.40741,1.39328,1.40038,1.40038,0
2020-04-10,1.3986,1.40079,1.39381,1.39861,1.39861,0
2020-04-13,1.3964,1.39867,1.39251,1.39684,1.39684,0
2020-04-14,1.38806,1.39246,1.3863,1.38731,1.38731,0
